NUMELEVE,FRAN4,CPBIS,CE1BIS,CE2BIS,CM1BIS,CM2BIS,MATH4,ECOLE2,CLASSE2,COURS2,RDBLT2,FRAN3,MATH3,MOIS,ANNEE,FRAT,PREEL,CSPP,CSPM,FILLE,ANCENS2,NBEL2,NBCOURS2,arti,sup,inter,empl,ouvr,autr,cmult,cmultnomb,mfran3,mmath3,msup,mouvr,stdfran3,stdmath3
784,0.248997641,1,0,0,0,0,0.270806258,11,23,1,0,0.586298574,1.027351892,1,91,2,3,4,8,0,11,23,2,0,0,1,0,0,0,1,0,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
785,-0.82896351,1,0,0,0,0,-0.716194086,11,23,1,0,0.035592065,-0.279951456,5,91,0,3,4,8,0,11,23,2,0,0,1,0,0,0,1,0,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
786,-1.540473268,1,0,0,0,0,-0.414775603,11,23,1,0,0.236290122,0.305288083,5,91,1,3,5,5,0,11,23,2,0,0,0,1,0,0,1,0,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
787,-0.681317441,1,0,0,0,0,-0.045231453,11,23,1,0,0.236290122,0.155599146,10,91,1,3,5,5,1,11,23,2,0,0,0,1,0,0,1,0,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
788,-0.04139742,1,0,0,0,0,-0.414775603,11,23,1,0,0.586298574,-0.127308211,10,91,0,3,7,4,1,11,23,2,0,0,0,0,0,1,1,0,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
789,0.050815228,1,0,0,0,0,1.060347653,11,23,1,0,,0.489371146,4,91,1,3,5,5,0,11,23,2,0,0,0,1,0,0,1,0,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
791,-0.82896351,1,0,0,0,0,0.147485079,11,23,1,0,0.236290122,-0.727930535,9,91,2,3,4,8,0,11,23,2,0,0,1,0,0,0,1,0,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
792,0.521165612,1,0,0,0,0,0.567946474,11,23,1,0,-0.438793784,0.336743364,6,91,1,3,5,8,1,11,23,2,0,0,0,1,0,0,1,0,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
794,-1.20031053,1,0,0,0,0,-1.815094487,11,23,1,0,1.384460854,-0.480966881,11,91,2,3,5,8,0,11,23,2,0,0,0,1,0,0,1,0,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
795,-0.547201727,1,0,0,0,0,1.591023938,11,23,1,0,-0.720806202,0.305288083,1,91,2,3,4,8,1,11,23,2,0,0,1,0,0,0,1,0,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
796,0.248997641,1,0,0,0,0,-0.809439794,12,25,1,0,-1.015944206,-1.658669751,12,91,0,2,5,4,0,28,22,2,0,0,0,1,0,0,1,0,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
797,0.961023906,1,0,0,0,0,1.987014511,12,25,1,0,1.762050139,1.178166022,4,91,2,3,5,4,0,28,22,2,0,0,0,1,0,0,1,0,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
798,-0.681317441,1,0,0,0,0,1.421435921,12,25,1,0,-0.093774298,-0.410839607,7,91,1,3,6,5,1,28,22,2,0,0,0,0,1,0,1,0,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
799,-1.022478611,1,0,0,0,0,-0.528522051,12,25,1,0,-1.129080437,-0.410839607,5,91,1,3,6,5,0,28,22,2,0,0,0,0,1,0,1,0,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
800,0.361372615,1,0,0,0,0,1.421435921,12,25,1,0,1.139789584,0.844975771,11,91,1,3,4,4,0,28,22,2,0,0,1,0,0,0,1,0,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
801,-0.681317441,1,0,0,0,0,-0.716194086,12,25,1,0,-1.467252303,-1.103036982,3,91,1,3,6,4,0,28,22,2,0,0,0,0,1,0,1,0,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
802,-0.04139742,1,0,0,0,0,0.147485079,12,25,1,0,-0.438793784,-0.372532188,6,91,1,3,3,5,0,28,22,2,0,1,0,0,0,0,1,0,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
803,0.754370247,1,0,0,0,0,0.567946474,12,25,1,0,2.556198793,0.116022669,2,91,4,3,7,5,0,28,22,2,0,0,0,0,0,1,1,0,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
804,-1.901629639,1,0,0,0,0,-1.080458772,12,25,1,0,-2.504955159,-1.468813356,1,91,2,3,7,6,0,28,22,2,0,0,0,0,0,1,1,0,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
805,0.248997641,1,0,0,0,0,0.699278814,12,25,1,0,0.236290122,1.720791637,2,91,0,3,6,5,1,28,22,2,0,0,0,0,1,0,1,0,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
806,-0.49123778,1,0,0,0,0,0.567946474,12,25,1,0,-1.467252303,-0.727930535,10,91,0,3,7,7,0,28,22,2,0,0,0,0,0,1,1,0,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
808,0.115003509,1,0,0,0,0,-0.528522051,12,25,1,0,-0.575186802,-0.727930535,12,91,1,3,6,5,1,28,22,2,0,0,0,0,1,0,1,0,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
810,0.961023906,1,0,0,0,0,-0.414775603,12,25,1,0,0.035592065,0.116022669,1,91,1,3,6,5,1,28,22,2,0,0,0,0,1,0,1,0,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
811,1.459471414,1,0,0,0,0,-0.809439794,14,28,1,0,1.139789584,0.514784081,1,91,1,3,5,5,1,21,13,2,0,0,0,1,0,0,1,0,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
813,0.961023906,1,0,0,0,0,-0.414775603,14,28,1,0,,0.945298473,1,91,1,3,2,8,0,21,13,2,1,0,0,0,0,0,1,0,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
817,1.459471414,1,0,0,0,0,0.416834169,16,33,1,0,2.111371637,2.130644437,7,91,1,3,6,8,0,9,12,5,0,0,0,0,1,0,1,1,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
818,0.754370247,1,0,0,0,0,1.759278631,16,33,1,0,2.556198793,2.462940955,11,91,3,3,1,5,1,9,12,5,0,0,0,0,0,0,1,1,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
832,-0.426441827,0,1,0,0,0,0.644935735,3,4,2,0,-0.011237311,0.711025828,2,91,3,3,1,4,1,15,26,2,0,0,0,0,0,0,1,0,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
833,0.20458393,0,1,0,0,0,0.644935735,3,4,2,0,0.949154436,0.03361491,1,91,1,1,3,5,1,15,26,2,0,1,0,0,0,0,1,0,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
837,-0.618558404,0,1,0,0,0,0.76837121,15,30,2,0,-0.900325024,0.354584584,7,90,1,,5,6,0,30,22,1,0,0,0,1,0,0,0,0,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
